ticker,nome,variacao,preco,categoria
BEEF3,MINERVA,"3,48%","5,95",ALTAS
NATU3,NATURA COSMETICOS S.A.,"2,70%","9,13",ALTAS
PCAR3,CIA BRASILEIRA DE DISTRIBUIÇÃO,"2,56%","3,61",ALTAS
VBBR3,VIBRA ENERGIA S.A.,"2,36%","22,08",ALTAS
BRKM5,BRASKEM,"1,61%","8,84",ALTAS
VAMO3,VAMOS LOCAÇÃO DE CAMINHÕES. MÁQUINAS E EQUIP.,"1,29%","3,92",ALTAS
MRVE3,MRV ENGENHARIA E PARTICIPAÇÕES,"-4,48%","7,25",BAIXAS
TOTS3,TOTVS,"-2,93%","41,08",BAIXAS
RAIZ4,RAIZEN S.A.,"-2,86%","1,02",BAIXAS
SBSP3,SABESP,"-2,66%","116,20",BAIXAS
PRIO3,PETRO RIO,"-1,94%","37,44",BAIXAS
YDUQ3,YDUQS,"-1,84%","12,81",BAIXAS
